:START_ID,:END_ID,relation,:TYPE
11257,20023,类型属于,类型属于
10157,20004,类型属于,类型属于
10445,20012,类型属于,类型属于
10569,20002,类型属于,类型属于
12502,20006,类型属于,类型属于
11599,20026,类型属于,类型属于
12171,20007,类型属于,类型属于
10401,20014,类型属于,类型属于
10353,20013,类型属于,类型属于
11634,20026,类型属于,类型属于
10569,20011,类型属于,类型属于
10343,20025,类型属于,类型属于
11083,20017,类型属于,类型属于
11316,20031,类型属于,类型属于
12747,20031,类型属于,类型属于
10396,20001,类型属于,类型属于
11581,20020,类型属于,类型属于
12487,20006,类型属于,类型属于
12248,20007,类型属于,类型属于
10996,20013,类型属于,类型属于
10452,20007,类型属于,类型属于
10395,20011,类型属于,类型属于
10588,20021,类型属于,类型属于
12075,20007,类型属于,类型属于
12733,20006,类型属于,类型属于
13068,20001,类型属于,类型属于
12769,20012,类型属于,类型属于
10127,20012,类型属于,类型属于
10133,20015,类型属于,类型属于
12061,20007,类型属于,类型属于
10233,20005,类型属于,类型属于
12291,20026,类型属于,类型属于
12711,20001,类型属于,类型属于
10072,20035,类型属于,类型属于
12493,20006,类型属于,类型属于
10192,20013,类型属于,类型属于
11134,20001,类型属于,类型属于
11127,20036,类型属于,类型属于
10526,20003,类型属于,类型属于
10798,20019,类型属于,类型属于
11953,20019,类型属于,类型属于
11641,20013,类型属于,类型属于
10933,20013,类型属于,类型属于
11284,20035,类型属于,类型属于
10738,20011,类型属于,类型属于
11465,20015,类型属于,类型属于
11117,20006,类型属于,类型属于
10635,20005,类型属于,类型属于
11367,20010,类型属于,类型属于
11715,20007,类型属于,类型属于
11347,20010,类型属于,类型属于
12194,20015,类型属于,类型属于
10297,20002,类型属于,类型属于
11183,20018,类型属于,类型属于
10157,20025,类型属于,类型属于
11938,20006,类型属于,类型属于
10306,20023,类型属于,类型属于
11044,20009,类型属于,类型属于
10271,20006,类型属于,类型属于
12583,20013,类型属于,类型属于
10105,20034,类型属于,类型属于
10061,20013,类型属于,类型属于
11193,20013,类型属于,类型属于
11690,20021,类型属于,类型属于
11077,20002,类型属于,类型属于
11119,20021,类型属于,类型属于
10355,20009,类型属于,类型属于
11088,20002,类型属于,类型属于
12515,20026,类型属于,类型属于
10498,20007,类型属于,类型属于
11629,20006,类型属于,类型属于
10833,20013,类型属于,类型属于
11002,20017,类型属于,类型属于
