index:ID,media_id,name,num_of_play,num_of_subscribe,num_of_danmu,starting_time,score,num_of_scoring_peopel,status,:LABEL
10174,1211,吸血鬼骑士,298.5万,21.1万,19.7万,2008年4月7日,9.1,347人评,已完结,Anime
10175,480,少女骑士物语,256万,28.6万,28.1万,2013年10月6日,8,262人评,已完结,Anime
10176,170,众神的恶作剧,380.9万,17.9万,31.3万,2014年4月5日,9,205人评,已完结,Anime
10177,3307,革命机Valvrave,264.6万,15万,12.7万,2013年4月11日,8.3,750人评,已完结,Anime
10178,6325,舞动青春,1064.7万,38万,29.1万,2017年7月9日,9.6,6137人评,已完结,Anime
10179,7552,RWBY 第五季,384.9万,12.2万,6.2万,2017年10月14日,9.7,2831人评,连载中,Anime
10180,1388,传颂之物,55.3万,14.5万,2.9万,2006年4月3日,9.7,685人评,已完结,Anime
10181,2729,温泉幼精箱根酱,320.1万,11.6万,3.4万,2015年10月4日,0,0,已完结,Anime
10182,2589,青春×机关枪,753.5万,26.6万,57.5万,2015年7月2日,9,402人评,已完结,Anime
10183,5022,热诚传说X,2319.7万,108万,72.9万,2016年7月3日,7.6,659人评,已完结,Anime
10184,1575,伪恋 OAD,470.6万,24万,16.8万,2014年10月3日,9.3,281人评,已完结,Anime
10185,5787,偶像选举,185.1万,12.8万,4.9万,2017年1月8日,0,0,已完结,Anime
10186,2571,Chaos Dragon 赤龙战役,481.2万,17.5万,22.7万,2015年7月2日,4.3,477人评,已完结,Anime
10187,4340,中二病也要谈恋爱！,1534.9万,123.5万,154.1万,2012年10月3日,9.5,4355人评,已完结,Anime
10188,2582,Classroom☆Crisi,374.2万,13.1万,11.9万,2015年7月3日,9.2,251人评,已完结,Anime
10189,846,电波女与青春男,20.3万,52.8万,1万,2011年4月14日,9.5,1764人评,已完结,Anime
10190,2894,RWBY 第三季,661.2万,16.7万,14.5万,2015年10月24日,9.3,441人评,已完结,Anime
10191,297,银仙,2260.4万,58.3万,281万,2014年10月5日,9.5,1175人评,已完结,Anime
10192,5069,齐木楠雄的灾难,6116.1万,114.8万,97.6万,2016年7月11日,9.7,6994人评,已完结,Anime
10193,5047,发条精灵战记 天镜的极北之星,643.5万,30.7万,12.4万,2016年7月9日,8.9,389人评,已完结,Anime
10194,120732,Fate/stay night  06版,138.1万,11.2万,10万,2006年1月6日,9.5,3457人评,已完结,Anime
10195,3464,学战都市Asterisk 第二季,3767万,83.4万,91.9万,2016年4月3日,8.2,916人评,已完结,Anime
10196,4058,巴哈姆特之怒 GENESIS,191.2万,21.7万,5.9万,2014年10月6日,9.4,841人评,已完结,Anime
10197,5016,小桃小栗Love Love物语,751.4万,45万,41.3万,2016年7月1日,9.3,541人评,已完结,Anime
10198,12392,三颗星彩色冒险,292.4万,22.3万,11.5万,2018年1月7日,9.7,5113人评,已完结,Anime
10199,1080,东京地震8.0,76万,12万,6.4万,2009年7月9日,9.6,575人评,已完结,Anime
10200,1174,轻音少女 小剧场,99.1万,18.3万,9026,2010年7月30日,9.7,501人评,已完结,Anime
10201,3493,12岁。,756.8万,22.9万,59.2万,2016年4月4日,7.4,167人评,已完结,Anime
10202,1192,机动战士高达00,221.7万,14万,6.4万,2007年10月6日,9.6,1011人评,已完结,Anime
10203,1130,游魂 -Kiss on my Deity-,102.7万,13.5万,4.9万,2009年4月5日,8.9,204人评,已完结,Anime
10204,714,要听爸爸的话！,20.7万,41万,1.1万,2012年1月10日,9.6,1637人评,已完结,Anime
10205,3054,游戏王 怪兽之决斗,106.4万,23.2万,3.1万,2000年4月18日,9.8,2305人评,连载中,Anime
10206,197,目隱都市的演繹者（僅限港澳台地區）,5.2万,33.3万,3329,2014年4月12日,9.1,592人评,已完结,Anime
10207,2578,赤发白雪姬 第一季,1180万,47.4万,79.6万,2015年7月6日,9.5,888人评,已完结,Anime
10208,8892,紫罗兰永恒花园,5141.8万,395万,189.7万,2018年1月11日,9.7,104665人评,已完结,Anime
